date, open, high, low, close, volume, Name
2016-01-12, , , , 88.55, 0, DHR
2016-07-01, , , , 49.54, 0, FTV
2016-01-12, , , , 52.43, 0, O
2016-04-07, , , , 41.56, 0, UA
2015-06-26, , , , 61.9, 100, WRK
2015-10-08, 93.96, 96.05, 93.22, 95.49, 1000002, VMC
2013-04-03, 24.38, 24.43, 24.19, 24.25, 1000003, UDR
2017-11-20, 71.77, 72.3, 71.28, 72.05, 10000030, C
2017-11-13, 155.34, 157.0, 154.84, 156.78, 1000007, NEE
2015-04-16, 65.62, 65.73, 64.95, 65.39, 1000008, CTXS
2015-11-18, 116.71, 118.44, 116.32, 118.32, 1000014, ECL
2015-12-29, 81.72, 82.0, 81.15, 81.97, 1000021, EQR
2015-04-27, 47.04, 47.1, 46.33, 46.45, 10000212, DAL
2016-01-19, 60.05, 60.21, 57.28, 58.01, 1000025, ALLE
2013-03-20, 40.9216, 43.0392, 40.3235, 42.549, 10000275, LEN
2013-08-02, 81.1625, 82.25, 81.1, 82.19, 1000028, DISCA
2013-04-01, 73.2, 73.5, 72.84, 73.5, 1000035, VTR
2015-12-17, 100.82, 100.92, 98.94, 98.94, 1000037, FFIV
2017-04-28, 250.74, 250.74, 246.6, 246.73, 1000037, TDG
2017-02-22, 139.26, 139.87, 138.9, 139.02, 1000040, LH
2017-02-09, 19.95, 20.5, 19.95, 20.24, 10000452, HBI
2015-02-10, 95.81, 97.065, 95.43, 96.81, 1000047, SWK
2015-09-04, 37.39, 37.79, 36.76, 36.85, 10000519, HAL
2016-07-19, 57.24, 57.96, 57.24, 57.45, 1000052, AKAM
2016-06-10, 46.82, 47.24, 46.14, 46.2, 10000592, NVDA
2016-04-08, 24.01, 24.18, 23.66, 23.75, 10000599, MS
2017-07-14, 217.25, 219.45, 216.89, 219.06, 1000064, FDX
2014-06-23, 79.3, 79.7, 79.17, 79.67, 1000069, INTU
2015-04-17, 82.02, 82.6, 81.29, 81.93, 1000071, VMC
2013-06-26, 37.5, 37.72, 37.28, 37.32, 1000072, EXPD
2014-01-10, 77.33, 77.662, 76.47, 77.0, 1000072, FLS
2016-04-12, 87.24, 89.07, 86.97, 88.86, 1000075, TSCO
2015-04-23, 85.12, 86.1, 85.02, 85.765, 1000080, ADP
2016-03-11, 191.6665, 194.7665, 191.0731, 193.4831, 1000089, ISRG
2014-10-20, 16.39, 16.53, 16.155, 16.41, 1000093, COTY
2015-11-10, 43.6, 44.05, 43.48, 44.02, 1000096, AJG
2015-08-26, 51.51, 51.81, 50.5, 51.81, 1000098, RMD
2013-09-24, 57.86, 58.29, 57.56, 57.6, 1000105, DVA
2017-04-27, 112.9, 113.96, 112.9, 113.41, 1000106, SRE
2015-11-03, 57.23, 57.98, 56.92, 57.73, 1000108, AWK
2013-09-17, 96.44, 96.87, 96.03, 96.36, 1000115, KMB
2015-12-31, 24.12, 25.82, 24.05, 25.7, 10001209, WMB
2016-06-02, 68.85, 69.635, 68.4921, 69.48, 1000121, PKG
2017-06-12, 26.07, 26.72, 26.05, 26.6, 10001215, CTL
2018-01-23, 60.85, 62.5, 60.71, 62.34, 10001225, AIG
2015-11-20, 73.21, 73.65, 72.96, 73.53, 1000124, DVA
2017-12-27, 81.98, 82.43, 81.36, 81.48, 1000125, TSN
2017-10-05, 66.9, 67.96, 65.65, 67.65, 1000126, SIG
2014-05-02, 35.95, 35.95, 35.355, 35.48, 10001278, MDLZ
2016-04-29, 39.71, 39.87, 38.59, 39.18, 10001401, PYPL
